Time Temperature HeartRate SkinConductivity EpisodeCount AlgorithmPrediction ActualEpisode ActualStatus
00:00:00 28.85 74.00 1099.44 0 NO NO Normal
00:00:01 28.89 76.00 1099.10 0 NO NO Normal
00:00:02 28.97 74.00 1104.09 0 NO NO Normal
00:00:03 28.84 76.00 1097.00 0 NO NO Normal
00:00:04 28.88 76.00 1101.31 0 NO NO Normal
00:00:05 28.95 76.00 1095.28 0 NO NO Normal
00:00:06 28.92 75.00 1101.41 0 NO NO Normal
00:00:07 28.90 76.00 1098.27 0 NO NO Normal
00:00:08 29.00 74.00 1102.12 0 NO NO Normal
00:00:09 28.80 76.00 1097.09 0 NO NO Normal
00:00:10 28.82 76.00 1100.07 0 NO NO Normal
00:00:11 28.92 74.00 1101.04 0 NO NO Normal
00:00:12 28.90 74.00 1096.87 0 NO NO Normal
00:00:13 28.82 75.00 1097.95 0 NO NO Normal
00:00:14 28.81 74.00 1098.63 0 NO NO Normal
00:00:15 28.82 76.00 1101.30 0 NO NO Normal
00:00:16 28.92 75.00 1096.65 0 NO NO Normal
00:00:17 28.87 76.00 1104.01 0 NO NO Normal
00:00:18 28.96 76.00 1100.07 0 NO NO Normal
00:00:19 28.93 75.00 1095.66 0 NO NO Normal
00:00:20 28.99 74.00 1104.55 0 NO NO Normal
00:00:21 28.94 75.00 1096.97 0 NO NO Normal
00:00:22 28.85 75.00 1103.19 0 NO NO Normal
00:00:23 28.95 75.00 1100.01 0 NO NO Normal
00:00:24 28.93 76.00 1101.78 0 NO NO Normal
00:00:25 28.96 75.00 1102.07 0 NO NO Normal
00:00:26 28.90 76.00 1100.82 0 NO NO Normal
00:00:27 28.94 75.00 1096.85 0 NO NO Normal
00:00:28 28.99 75.00 1100.93 0 NO NO Normal
00:00:29 28.99 74.00 1098.52 0 NO NO Normal
00:00:30 28.92 75.00 1098.33 0 NO NO Normal
00:00:31 28.89 75.00 1104.55 0 NO NO Normal
00:00:32 28.93 75.00 1100.91 0 NO NO Normal
00:00:33 28.85 76.00 1098.48 0 NO NO Normal
00:00:34 28.95 76.00 1101.60 0 NO NO Normal
00:00:35 28.81 76.00 1104.94 0 NO NO Normal
00:00:36 28.98 74.00 1099.15 0 NO NO Normal
00:00:37 28.82 74.00 1102.31 0 NO NO Normal
00:00:38 28.93 76.00 1103.11 0 NO NO Normal
00:00:39 28.86 75.00 1096.68 0 NO NO Normal
00:00:40 28.88 75.00 1104.42 0 NO NO Normal
00:00:41 28.88 75.00 1097.04 0 NO NO Normal
00:00:42 28.87 75.00 1100.47 0 NO NO Normal
00:00:43 28.94 75.00 1096.64 0 NO NO Normal
00:00:44 28.91 75.00 1096.50 0 NO NO Normal
00:00:45 28.81 75.00 1103.89 0 NO NO Normal
00:00:46 28.85 76.00 1098.98 0 NO NO Normal
00:00:47 28.94 76.00 1098.94 0 NO NO Normal
00:00:48 28.94 75.00 1102.41 0 NO NO Normal
00:00:49 28.92 76.00 1103.81 0 NO NO Normal
00:00:50 28.93 74.00 1098.03 0 NO NO Normal
00:00:51 28.98 75.00 1095.24 0 NO NO Normal
00:00:52 28.98 76.00 1095.91 0 NO NO Normal
00:00:53 28.92 76.00 1095.61 0 NO NO Normal
00:00:54 28.89 76.00 1096.32 0 NO NO Normal
00:00:55 28.81 75.00 1103.23 0 NO NO Normal
00:00:56 28.95 76.00 1104.51 0 NO NO Normal
00:00:57 28.94 74.00 1099.87 0 NO NO Normal
00:00:58 28.80 75.00 1097.40 0 NO NO Normal
00:00:59 28.89 75.00 1096.36 0 NO NO Normal
00:01:00 28.90 75.00 1096.22 0 NO NO Normal
00:01:01 28.89 74.00 1100.22 0 NO NO Normal
00:01:02 28.83 76.00 1096.27 0 NO NO Normal
00:01:03 28.82 74.00 1104.73 0 NO NO Normal
00:01:04 28.82 75.00 1100.58 0 NO NO Normal
00:01:05 28.89 75.00 1102.98 0 NO NO Normal
00:01:06 28.90 76.00 1099.96 0 NO NO Normal
00:01:07 28.86 76.00 1096.89 0 NO NO Normal
00:01:08 28.95 74.00 1100.13 0 NO NO Normal
00:01:09 28.89 74.00 1104.90 0 NO NO Normal
00:01:10 28.84 76.00 1096.93 0 NO NO Normal
00:01:11 28.83 75.00 1100.10 0 NO NO Normal
00:01:12 28.87 75.00 1096.14 0 NO NO Normal
00:01:13 28.89 75.00 1104.12 0 NO NO Normal
00:01:14 28.83 76.00 1098.47 0 NO NO Normal
00:01:15 28.90 76.00 1096.29 0 NO NO Normal
00:01:16 28.85 76.00 1095.73 0 NO NO Normal
00:01:17 28.90 74.00 1097.63 0 NO NO Normal
00:01:18 28.97 75.00 1100.21 0 NO NO Normal
00:01:19 28.89 75.00 1097.46 0 NO NO Normal
00:01:20 28.90 74.00 1095.45 0 NO NO Normal
00:01:21 28.92 75.00 1097.86 0 NO NO Normal
00:01:22 28.98 75.00 1098.71 0 NO NO Normal
00:01:23 28.93 74.00 1100.64 0 NO NO Normal
00:01:24 29.00 75.00 1100.10 0 NO NO Normal
00:01:25 28.86 75.00 1095.15 0 NO NO Normal
00:01:26 28.99 75.00 1095.51 0 NO NO Normal
00:01:27 28.95 76.00 1101.76 0 NO NO Normal
00:01:28 28.82 75.00 1103.01 0 NO NO Normal
00:01:29 28.87 76.00 1101.03 0 NO NO Normal
00:01:30 28.81 74.00 1098.27 0 NO NO Normal
00:01:31 28.87 75.00 1104.30 0 NO NO Normal
00:01:32 28.81 75.00 1095.91 0 NO NO Normal
00:01:33 28.80 74.00 1099.13 0 NO NO Normal
00:01:34 28.90 76.00 1103.76 0 NO NO Normal
00:01:35 28.84 75.00 1104.52 0 NO NO Normal
00:01:36 28.89 76.00 1098.91 0 NO NO Normal
00:01:37 28.85 75.00 1095.81 0 NO NO Normal
00:01:38 28.81 76.00 1100.29 0 NO NO Normal
00:01:39 28.95 75.00 1097.88 0 NO NO Normal
00:01:40 28.92 76.00 1098.13 0 NO NO Normal
00:01:41 28.88 74.00 1100.22 0 NO NO Normal
00:01:42 28.84 76.00 1099.76 0 NO NO Normal
00:01:43 28.81 75.00 1097.74 0 NO NO Normal
