isr get called!
Received command: GET_LINKED_LIST
Sending 29 linked list entries...
00:00:00 319.00 0
00:00:01 306.00 0
00:00:02 281.00 0
00:00:03 294.00 0
00:00:04 292.00 0
00:00:05 265.00 0
00:00:06 284.00 0
00:00:07 294.00 0
00:00:08 267.00 0
00:00:09 282.00 0
00:00:10 305.00 0
00:00:11 313.00 0
00:00:12 326.00 0
00:00:13 315.00 0
00:00:14 305.00 0
00:00:15 309.00 0
00:00:16 304.00 0
00:00:17 300.00 0
00:00:18 305.00 0
00:00:19 290.00 0
00:00:20 293.00 0
00:00:21 300.00 0
00:00:22 306.00 0
00:00:23 312.00 0
00:00:24 318.00 0
00:00:25 323.00 0
00:00:26 326.00 0
00:00:27 320.00 0
00:00:28 270.00 0
