isr get called!
Received command: GET_LINKED_LIST
Sending 187 linked list entries...
00:00:00 2607.00 0
00:00:01 2607.00 0
00:00:02 2607.00 0
00:00:03 2607.00 0
00:00:04 2607.00 0
00:00:05 2607.00 0
00:00:06 2607.00 0
00:00:07 2607.00 0
00:00:08 2607.00 0
00:00:09 2607.00 0
00:00:10 2607.00 0
00:00:11 2607.00 0
00:00:12 2607.00 0
00:00:13 2607.00 0
00:00:14 2606.00 0
00:00:15 2607.00 0
00:00:16 2607.00 0
00:00:17 2607.00 0
00:00:18 2607.00 0
00:00:19 2607.00 0
00:00:20 2607.00 0
00:00:21 2607.00 0
00:00:22 2607.00 0
00:00:23 2607.00 0
00:00:24 2607.00 0
00:00:25 2607.00 0
00:00:26 2607.00 0
00:00:27 2607.00 0
00:00:28 2607.00 0
00:00:29 2607.00 0
00:00:30 2607.00 0
00:00:31 2607.00 0
00:00:32 2607.00 0
00:00:33 2607.00 0
00:00:34 2607.00 0
00:00:35 2607.00 0
00:00:36 2608.00 0
00:00:37 2607.00 0
00:00:38 2607.00 0
00:00:39 2607.00 0
00:00:40 2607.00 0
00:00:41 2607.00 0
00:00:42 2607.00 0
00:00:43 2607.00 0
00:00:44 2607.00 0
00:00:45 2607.00 0
00:00:46 2608.00 0
00:00:47 2608.00 0
00:00:48 2608.00 0
00:00:49 2608.00 0
00:00:50 2608.00 0
00:00:51 2608.00 0
00:00:52 2608.00 0
00:00:53 2608.00 0
00:00:54 2608.00 0
00:00:55 2608.00 0
00:00:56 2608.00 0
00:00:57 2608.00 0
00:00:58 2608.00 0
00:00:59 2608.00 0
00:01:00 2608.00 0
00:01:01 2608.00 0
00:01:02 2608.00 0
00:01:03 2608.00 0
00:01:04 2608.00 0
00:01:05 2608.00 0
00:01:06 2608.00 0
00:01:07 2608.00 0
00:01:08 2608.00 0
00:01:09 2608.00 0
00:01:10 2608.00 0
00:01:11 2608.00 0
00:01:12 2608.00 0
00:01:13 2608.00 0
00:01:14 2605.00 0
00:01:15 2608.00 0
00:01:16 2608.00 0
00:01:17 2608.00 0
00:01:18 2608.00 0
00:01:19 2608.00 0
00:01:20 2608.00 0
00:01:21 2608.00 0
00:01:22 2608.00 0
00:01:23 2608.00 0
00:01:24 2608.00 0
00:01:25 2608.00 0
00:01:26 2608.00 0
00:01:27 2608.00 0
00:01:28 1988.00 0
00:01:29 1260.00 0
00:01:30 1581.00 0
00:01:31 853.00 0
00:01:32 773.00 0
00:01:33 761.00 0
00:01:34 884.00 0
00:01:35 872.00 1
00:01:36 848.00 1
00:01:37 0.00 1
00:01:38 944.00 1
00:01:39 943.00 1
00:01:40 950.00 0
00:01:41 975.00 0
00:01:42 0.00 0
00:01:43 956.00 1
00:01:44 950.00 1
00:01:45 0.00 1
00:01:46 949.00 1
00:01:47 974.00 1
00:01:48 1048.00 0
00:01:49 1005.00 0
00:01:50 0.00 0
00:01:51 1039.00 1
00:01:52 1073.00 1
00:01:53 0.00 1
00:01:54 1040.00 1
00:01:55 1035.00 1
00:01:56 1070.00 0
00:01:57 1320.00 0
00:01:58 0.00 0
00:01:59 2606.00 0
00:02:00 2607.00 0
00:02:01 2607.00 0
00:02:02 2226.00 0
00:02:03 1050.00 0
00:02:04 963.00 0
00:02:05 965.00 0
00:02:06 959.00 0
00:02:07 956.00 0
00:02:08 967.00 1
00:02:09 951.00 1
00:02:10 0.00 1
00:02:11 974.00 1
00:02:12 954.00 1
00:02:13 926.00 0
00:02:14 927.00 0
00:02:15 0.00 0
00:02:16 821.00 1
00:02:17 764.00 1
00:02:18 0.00 1
00:02:19 1070.00 1
00:02:20 2580.00 1
00:02:21 1931.00 1
00:02:22 855.00 1
00:02:23 819.00 0
00:02:24 839.00 0
00:02:25 0.00 0
00:02:26 891.00 1
00:02:27 928.00 1
00:02:28 0.00 1
00:02:29 800.00 1
00:02:30 830.00 1
00:02:31 830.00 0
00:02:32 1414.00 0
00:02:33 0.00 0
00:02:34 2601.00 0
00:02:35 2602.00 0
00:02:36 2602.00 0
00:02:37 2602.00 0
00:02:38 2602.00 0
00:02:39 2601.00 0
00:02:40 2602.00 0
00:02:41 2602.00 0
00:02:42 2602.00 0
00:02:43 2602.00 0
00:02:44 2602.00 0
00:02:45 2602.00 0
00:02:46 2602.00 0
00:02:47 2602.00 0
00:02:48 2601.00 0
00:02:49 2602.00 0
00:02:50 2601.00 0
00:02:51 2602.00 0
00:02:52 2602.00 0
00:02:53 2606.00 0
00:02:54 2607.00 0
00:02:55 2607.00 0
00:02:56 2606.00 0
00:02:57 2606.00 0
00:02:58 2607.00 0
00:02:59 2606.00 0
00:03:00 2606.00 0
00:03:01 2606.00 0
00:03:02 2606.00 0
00:03:03 2606.00 0
00:03:04 2606.00 0
00:03:05 2606.00 0
00:03:06 2606.00 0
