isr get called!
Received command: GET_LINKED_LIST
Sending 177 linked list entries...
00:00:00 335.00 0
00:00:01 241.00 0
00:00:02 269.00 0
00:00:03 325.00 0
00:00:04 357.00 0
00:00:05 364.00 0
00:00:06 335.00 0
00:00:07 323.00 0
00:00:08 335.00 0
00:00:09 341.00 0
00:00:10 352.00 0
00:00:11 367.00 0
00:00:12 341.00 0
00:00:13 332.00 0
00:00:14 302.00 0
00:00:15 251.00 0
00:00:16 240.00 0
00:00:17 290.00 0
00:00:18 316.00 0
00:00:19 330.00 0
00:00:20 343.00 0
00:00:21 353.00 0
00:00:22 360.00 0
00:00:23 365.00 0
00:00:24 376.00 0
00:00:25 384.00 0
00:00:26 388.00 0
00:00:27 343.00 0
00:00:28 313.00 0
00:00:29 302.00 0
00:00:30 248.00 0
00:00:31 258.00 0
00:00:32 305.00 0
00:00:33 233.00 0
00:00:34 110.00 0
00:00:35 0.00 0
00:00:36 59.00 0
00:00:37 72.00 0
00:00:38 58.00 0
00:00:39 18.00 0
00:00:40 59.00 0
00:00:41 86.00 0
00:00:42 103.00 0
00:00:43 114.00 0
00:00:44 117.00 0
00:00:45 129.00 0
00:00:46 140.00 0
00:00:47 134.00 0
00:00:48 99.00 0
00:00:49 115.00 0
00:00:50 100.00 0
00:00:51 112.00 0
00:00:52 53.00 0
00:00:53 86.00 0
00:00:54 66.00 0
00:00:55 77.00 0
00:00:56 114.00 0
00:00:57 131.00 0
00:00:58 138.00 0
00:00:59 102.00 0
00:01:00 65.00 0
00:01:01 37.00 0
00:01:02 72.00 0
00:01:03 110.00 0
00:01:04 124.00 0
00:01:05 136.00 0
00:01:06 143.00 0
00:01:07 150.00 0
00:01:08 160.00 0
00:01:09 169.00 0
00:01:10 143.00 0
00:01:11 137.00 0
00:01:12 158.00 0
00:01:13 170.00 0
00:01:14 180.00 0
00:01:15 187.00 0
00:01:16 191.00 0
00:01:17 194.00 0
00:01:18 168.00 0
00:01:19 122.00 0
00:01:20 129.00 0
00:01:21 120.00 0
00:01:22 121.00 0
00:01:23 146.00 0
00:01:24 163.00 0
00:01:25 158.00 0
00:01:26 131.00 0
00:01:27 152.00 0
00:01:28 163.00 0
00:01:29 171.00 0
00:01:30 148.00 0
00:01:31 84.00 0
00:01:32 107.00 0
00:01:33 138.00 0
00:01:34 151.00 0
00:01:35 157.00 0
00:01:36 160.00 0
00:01:37 164.00 0
00:01:38 170.00 0
00:01:39 177.00 0
00:01:40 175.00 0
00:01:41 179.00 0
00:01:42 186.00 0
00:01:43 192.00 0
00:01:44 196.00 0
00:01:45 201.00 0
00:01:46 204.00 0
00:01:47 198.00 0
00:01:48 130.00 0
00:01:49 134.00 0
00:01:50 163.00 0
00:01:51 164.00 0
00:01:52 94.00 0
00:01:53 49.00 0
00:01:54 82.00 0
00:01:55 59.00 0
00:01:56 11.00 0
00:01:57 15.00 0
00:01:58 40.00 0
00:01:59 46.00 0
00:02:00 49.00 0
00:02:01 38.00 0
00:02:02 44.00 0
00:02:03 55.00 0
00:02:04 62.00 0
00:02:05 13.00 0
00:02:06 11.00 0
00:02:07 11.00 0
00:02:08 11.00 0
00:02:09 11.00 0
00:02:10 11.00 0
00:02:11 11.00 0
00:02:12 11.00 0
00:02:13 11.00 0
00:02:14 11.00 0
00:02:15 12.00 0
00:02:16 16.00 0
00:02:17 25.00 0
00:02:18 31.00 0
00:02:19 38.00 0
00:02:20 46.00 0
00:02:21 54.00 0
00:02:22 60.00 0
00:02:23 66.00 0
00:02:24 73.00 0
00:02:25 79.00 0
00:02:26 85.00 0
00:02:27 88.00 0
00:02:28 92.00 0
00:02:29 98.00 0
00:02:30 98.00 0
00:02:31 100.00 0
00:02:32 110.00 0
00:02:33 100.00 0
00:02:34 44.00 0
00:02:35 45.00 0
00:02:36 66.00 0
00:02:37 79.00 0
00:02:38 77.00 0
00:02:39 72.00 0
00:02:40 83.00 0
00:02:41 92.00 0
00:02:42 90.00 0
00:02:43 96.00 0
00:02:44 104.00 0
00:02:45 101.00 0
00:02:46 96.00 0
00:02:47 106.00 0
00:02:48 107.00 0
00:02:49 68.00 0
00:02:50 22.00 0
00:02:51 50.00 0
00:02:52 59.00 0
00:02:53 13.00 0
00:02:54 25.00 0
00:02:55 49.00 0
00:02:56 60.00 0
